Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
0610034P02RIK	TSEN54	gene	HOM:51882985	MGI
0610035N01RIK	STARD3NL	gene	HOM:51881963	MGI
0610037B21RIK	GNG11	gene	HOM:51876053	MGI
0610037B23RIK	PLET1	gene	HOM:51889542	MGI
0610037D15RIK	CCDC163	gene	HOM:51886753	MGI
0610037F22RIK	GYPC	gene	HOM:51875471	MGI
0610037H22RIK	GTPBP8	gene	HOM:51881329	MGI
0610037K01RIK	ZBED3	gene	HOM:51890852	MGI
0610037L13RIK	CZIB	gene	HOM:51879957	MGI
0610037L18RIK	0610037L18RIK	gene	MGI:1925614	MGI
0610037M02RIK	EIF3F	gene	HOM:51880977	MGI
0610037M15RIK	H2-Q6	gene	HOM:51879980	MGI
0610037N01RIK	RPP21	gene	HOM:51878723	MGI
0610037N03RIK	RNF135	gene	HOM:51889834	MGI
0610037N12RIK	POP7	gene	HOM:51875564	MGI
0610037O16RIK	NAT8	gene	HOM:51871329	MGI
0610037P05RIK	CEP20	gene	HOM:51875789	MGI
0610038B21RIK	0610038B21RIK	gene	MGI:1917595	MGI
0610038D11RIK	TRMT112	gene	HOM:51883103	MGI
0610038F01RIK	STOML2	gene	HOM:51884212	MGI
0610038F07RIK	SDHAF2	gene	HOM:51882594	MGI
0610038H10RIK	PTGES2	gene	HOM:51884173	MGI
0610038H21RIK	CIZ1	gene	HOM:51872361	MGI
0610038K03RIK	PBLD1	gene	HOM:51883189	MGI
0610038K04RIK	DCXR	gene	HOM:51881994	MGI
0610038L08RIK	TBC1D22BOS	gene	MGI:1921342	MGI
0610038L10RIK	RFK	gene	HOM:51880442	MGI
0610038L13RIK	AP5S1	gene	HOM:51880397	MGI
0610038M01RIK	DOP1B	gene	HOM:51872872	MGI
0610038M03RIK	MBTPS1	gene	HOM:51876068	MGI
0610038N18RIK	PPP1R1A	gene	HOM:51889583	MGI
0610038O04RIK	SPP2	gene	HOM:51880571	MGI
0610038P03RIK	GSSOS1	gene	MGI:1915623	MGI
0610038P07RIK	SSR3	gene	HOM:51874017	MGI
0610039A15RIK	EMC3	gene	HOM:51877598	MGI
0610039A20RIK	STYX	gene	HOM:51879928	MGI
