Gene Synonym	Gene name	Gene type	Gene stable ID	Gene description
5HTR2C	HTR2C	gene	HOM:51879104	HGNC
5MP1	BZW2	gene	HOM:51878901	HGNC
5MP2	BZW1	gene	HOM:51871192	HGNC
5PTASE	INPP5A	gene	HOM:51887862	HGNC
5T4	TPBG	gene	HOM:51878797	HGNC
5T4-AG	TPBG	gene	HOM:51878797	HGNC
6-16	IFI6	gene	HGNC:4054	HGNC
6.3	PLXNA3	gene	HOM:51878978	HGNC
6.8PL	ATP5MJ	gene	HOM:51870931	HGNC
60B8AG	S100A8	gene	HOM:51889885	HGNC
60B8AG	S100A9	gene	HOM:51889887	HGNC
60H	HMGN2P12	gene	HGNC:4991	HGNC
64KD	LMOD1	gene	HOM:51877588	HGNC
6530404F10RIK	KCTD18	gene	HOM:51887928	HGNC
6530406P05RIK	GPR165P	gene	HOM:51887595	HGNC
66CTG	CDKN2B-AS1	gene	HGNC:34341	HGNC
6A3-5	ARID1B	gene	HOM:51874976	HGNC
6C6-AG	BCAP31	gene	HOM:51879058	HGNC
6CKINE	CCL21	gene	HOM:51872098	HGNC
6PGL	PGLS	gene	HOM:51874069	HGNC
7-60	OGFR	gene	HOM:51874140	HGNC
71-7A	OFD1	gene	HOM:51881977	HGNC
71-7A2	OFD1P18Y	gene	HGNC:2589	HGNC
71-7A3	OFD1P17	gene	HGNC:1332	HGNC
71-7A5	OFD1P17	gene	HGNC:1332	HGNC
721P	AKAP17A	gene	HOM:51886366	HGNC
753P9	SASH3	gene	HOM:51886127	HGNC
76P	TUBGCP4	gene	HOM:51883995	HGNC
7A5	MACC1	gene	HOM:51885751	HGNC
7B2	SCG5	gene	HOM:51884443	HGNC
7B4	CDH5	gene	HOM:51871303	HGNC
7H3	SYDE1	gene	HOM:51890303	HGNC
7L1A	RN7SL1	gene	HGNC:10038	HGNC
7L23	RN7SL7P	gene	HGNC:10042	HGNC
7L28	RN7SL4P	gene	HGNC:10039	HGNC
7L30.1	RN7SL2	gene	HGNC:23134	HGNC
7L30.2	RN7SL3	gene	HGNC:23135	HGNC
7L63	RN7SL8P	gene	HGNC:10043	HGNC
7L7	RN7SL6P	gene	HGNC:10041	HGNC
7LEM1	RN7SL5P	gene	HGNC:10040	HGNC
7SK	RN7SK	gene	HOM:51889814	HGNC
7SL	RN7SL1	gene	HGNC:10038	HGNC
7SL1C	RN7SL2	gene	HGNC:23134	HGNC
80K-H	PRKCSH	gene	HOM:51884051	HGNC
80K-L	MARCKS	gene	HOM:51874755	HGNC
82-FIP	NUFIP2	gene	HOM:51888943	HGNC
821D11.7	SREBF2-AS1	gene	HGNC:53953	HGNC
87U6	GNAI3	gene	HOM:51875873	HGNC
87U6	RNU6V	gene	HGNC:10230	HGNC
8B	SYNE1	gene	HOM:51879757	HGNC
8D6	CD320	gene	HOM:51886824	HGNC
8D6A	CD320	gene	HOM:51886824	HGNC
8HS20	VPREB3	gene	HOM:51890805	HGNC
9-27	IFITM1	gene	HOM:51876489	HGNC
90K	LGALS3BP	gene	HOM:51877558	HGNC
9630046K23RIK	POGLUT1	gene	HOM:51877518	HGNC
9F	FAM50A	gene	HOM:51872743	HGNC
9G8	SLU7	gene	HOM:51874952	HGNC
9G8	SRSF7	gene	HOM:51874203	HGNC
A-152E5.1	CCL22	gene	HOM:51886792	HGNC
A-2	GPR162	gene	HOM:51887594	HGNC
A-761H5.2	CDC37P1	gene	HGNC:34406	HGNC
A-923A4.1	ACSM2A	gene	HOM:51883896	HGNC
A-C1	PLAAT1	gene	HOM:51876339	HGNC
A-FABP	FABP4	gene	HOM:51873866	HGNC
A-LAP	ERAP1	gene	HOM:51880775	HGNC
A-MYB	MYBL1	gene	HOM:51877189	HGNC
A-RAF	ARAF	gene	HOM:51878906	HGNC
A-ROD	LNCAROD	gene	HGNC:50913	HGNC
A-SCID	DCLRE1C	gene	HOM:51876997	HGNC
A1	ATP6V0A1	gene	HOM:51870940	HGNC
A1	RFC1	gene	HOM:51880468	HGNC
A1	RFC2	gene	HOM:51883126	HGNC
A1	RFC4	gene	HOM:51884295	HGNC
A1-5	ZNF2	gene	HOM:51885296	HGNC
A10	IGKV6D-21	gene	HOM:51876567	HGNC
A12.2	POLR1H	gene	HOM:51883130	HGNC
A121	EIF1	gene	HOM:51873444	HGNC
A14GALT	A4GALT	gene	HOM:51886281	HGNC
A15	TSPAN7	gene	HOM:51881625	HGNC
A170	SQSTM1	gene	HOM:51878287	HGNC
A1A	SERPINA1	gene	HOM:51871627	HGNC
A1AG1	ORM1	gene	HOM:51889406	HGNC
A1AT	SERPINA1	gene	HOM:51871627	HGNC
A1B	SNTB1	gene	HOM:51884815	HGNC
A1BG	A1BG	gene	HOM:51886278	HGNC
A1BG-AS	A1BG-AS1	gene	HGNC:37133	HGNC
A1BG-AS1	A1BG-AS1	gene	HGNC:37133	HGNC
A1BGAS	A1BG-AS1	gene	HGNC:37133	HGNC
A1CF	A1CF	gene	HOM:51870507	HGNC
A1S9T	UBA1	gene	HOM:51874152	HGNC
A1U	UBQLN4	gene	HOM:51870903	HGNC
A2	ATP6V0A2	gene	HOM:51879170	HGNC
A2	CFAP410	gene	HOM:51879073	HGNC
A2	GPHA2	gene	HOM:51885757	HGNC
A2	SGCA	gene	HOM:51876979	HGNC
A20	IGKV1-27	gene	HOM:51887796	HGNC
A20	TNFAIP3	gene	HOM:51870447	HGNC
A211C6.1	LYRM1	gene	HOM:51882601	HGNC
A214N16.3	PRUNE2	gene	HOM:51877207	HGNC
A26	IGKV6-21	gene	HOM:51876567	HGNC
A26A1	POTEA	gene	HGNC:33893	HGNC
A26B1	POTEB	gene	HGNC:33734	HGNC
A26B2	POTEC	gene	HGNC:33894	HGNC
A26B3	POTED	gene	HGNC:23822	HGNC
A26C1	POTEE	gene	HGNC:33895	HGNC
A26C1A	POTEE	gene	HGNC:33895	HGNC
A26C1B	POTEF	gene	HGNC:33905	HGNC
A26C2	POTEG	gene	HGNC:33896	HGNC
A26C3	POTEH	gene	HGNC:133	HGNC
A28-RGS14	RGS16	gene	HOM:51883024	HGNC
A2AP	SERPINF2	gene	HOM:51878975	HGNC
A2BP1	RBFOX1	gene	HOM:51870449	HGNC
A2D	ATXN2L	gene	HOM:51882360	HGNC
A2HS	AHSG	gene	HOM:51870634	HGNC
A2LD1	GGACT	gene	HOM:51883618	HGNC
A2LP	ATXN2L	gene	HOM:51882360	HGNC
A2M	A2M	gene	HOM:51886279	HGNC
A2M-AS1	A2M-AS1	gene	HGNC:27057	HGNC
